cert_id,student_internal_id,student_email,student_full_name,degree_title,issue_date
cert-417,STU-2004,alice1.demo@example.edu,Alice Johnson,BSc Computer Science,2026-05-01
cert-418,STU-2005,bob1.demo@example.edu,Bob Martinez,MSc Data Science,2026-05-01
cert-419,STU-2006,carol1.demo@example.edu,Carol Ng,BEng Software Engineering,2026-05-02
cert-420,STU-2004,alice1.demo@example.edu,lice Johnson,BSc Computer Science,2026-05-01
cert-421,STU-2005,bob1.demo@example.edu,Stoob Martinez,MSc Data Science,2026-05-01
cert-412,STU-2006,carol1.demo@example.edu,Karol Ng,BEng Software Engineering,2026-05-02
cert-417,STU-2004,alice1.demo@example.edu,Alice Johnson,BSc Computer Science,2026-05-01
cert-418,STU-2005,bob1.demo@example.edu,Bob Martinez,MSc Data Science,2026-05-01
cert-419,STU-2006,carol1.demo@example.edu,Carol Ng,BEng Software Engineering,2026-05-02
cert-420,STU-2004,alice1.demo@example.edu,lice Johnson,BSc Computer Science,2026-05-01
cert-421,STU-2005,bob1.demo@example.edu,Stoob Martinez,MSc Data Science,2026-05-01
cert-412,STU-2006,carol1.demo@example.edu,Karol Ng,BEng Software Engineering,2026-05-02
cert-417,STU-2004,alice1.demo@example.edu,Alice Johnson,BSc Computer Science,2026-05-01
cert-418,STU-2005,bob1.demo@example.edu,Bob Martinez,MSc Data Science,2026-05-01
cert-419,STU-2006,carol1.demo@example.edu,Carol Ng,BEng Software Engineering,2026-05-02
cert-420,STU-2004,alice1.demo@example.edu,lice Johnson,BSc Computer Science,2026-05-01
cert-421,STU-2005,bob1.demo@example.edu,Stoob Martinez,MSc Data Science,2026-05-01
cert-412,STU-2006,carol1.demo@example.edu,Karol Ng,BEng Software Engineering,2026-05-02
